hw(rs1)+hw(rs2),HW
26,0
45,3245
68,3693
50,4072
52,3542
38,3449
51,3373
49,3633
53,3562
47,3821
26,3605
47,3048
9,3817
54,2191
65,4036
67,3810
64,3460
57,3866
40,3659
39,3113
67,2971
35,3631
48,3483
27,3444
42,3154
48,3693
48,3453
54,3298
52,3690
16,3746
48,2605
29,3410
53,2475
23,3917
57,3341
53,3980
57,3731
19,3731
53,2952
55,3912
40,3950
30,3299
62,3121
34,3502
42,3057
55,3380
47,3480
47,3303
25,3791
57,3090
53,3698
50,3768
53,3805
20,3888
54,3384
23,3669
30,3234
60,3134
67,3575
19,3895
63,3166
51,3765
20,3658
66,3157
18,3684
47,3488
26,3510
61,3314
6,3899
29,2953
18,3260
48,3084
20,3534
25,2807
44,3006
48,3862
64,3739
28,3764
24,3308
46,3474
42,3596
35,3335
59,2715
47,3622
46,3785
33,3534
32,3682
28,3672
36,3490
37,2638
41,3824
54,3738
43,3729
56,3771
16,3825
45,2553
14,3650
49,2379
47,3460
33,3223
36,3214
29,3656
17,3386
41,3013
21,3369
44,2983
64,3634
39,3926
27,3264
55,2817
61,3662
19,3667
46,3323
54,3407
40,3499
53,3581
62,3536
56,3827
43,3640
56,3720
32,3924
30,3041
63,3279
28,3941
48,3095
54,3712
50,3981
60,3523
60,3565
40,3950
67,3481
50,4073
55,3613
54,3496
49,3667
39,3568
60,3471
28,3534
63,3543
37,3683
37,3694
56,3483
32,3921
34,3408
52,3538
32,3864
60,3247
21,4010
58,2447
56,3988
32,3666
60,3075
29,3565
27,3288
49,3332
56,3713
13,3837
55,2799
31,3806
43,3406
65,3373
39,3788
47,3601
53,3411
33,3855
47,3550
54,3756
62,3677
52,3926
38,3744
21,3542
46,2713
38,3460
37,3543
49,3409
49,3991
36,3627
61,3315
59,4185
5,3679
44,2402
42,3445
26,3553
37,2908
33,2713
23,3167
49,3209
38,3401
56,3106
51,3789
16,3592
56,2327
63,3725
52,3511
37,3822
39,3559
67,3520
44,3880
48,3443
63,3787
23,3696
52,2924
38,3758
28,3282
65,2503
22,3807
47,3301
62,3683
38,3847
38,3458
47,3461
9,3915
40,2774
53,3603
22,3718
52,3156
17,3949
49,3385
62,3661
51,4023
44,3499
54,3580
43,3729
29,3612
53,3283
37,4023
28,3479
40,3345
44,3181
41,3487
33,3382
54,3404
53,3641
49,3877
56,3339
22,3620
16,2908
44,2538
49,3730
52,3574
34,3787
37,3236
27,3398
45,2524
53,3271
41,3772
63,3500
36,3862
65,2935
44,3817
61,3651
46,4193
45,3328
29,3730
43,3385
46,3375
60,3502
45,4050
59,3548
55,3527
54,3777
47,3726
31,3268
57,3307
16,3790
29,2742
63,2443
48,3873
57,3735
65,3716
37,4095
25,3572
22,3016
43,3058
32,3406
46,3741
47,3711
42,3866
59,3181
37,3605
58,3140
40,3876
41,3503
30,3705
57,3400
40,3874
38,3559
40,3618
28,3352
45,3341
50,3484
62,3667
59,3872
47,3768
42,3460
46,3641
28,3652
60,2856
49,3591
38,3780
34,2985
39,3398
58,2953
47,3889
70,3737
36,4024
42,3620
22,3671
57,3039
13,4013
23,2831
39,3105
23,3595
40,3369
64,3456
36,3720
45,3374
65,3762
11,3831
51,2916
61,3446
66,3779
61,3971
64,3838
44,3789
30,3743
55,3332
52,3540
70,3959
13,3949
56,2932
40,3666
67,3562
42,3776
25,3109
32,3507
36,3545
22,3127
16,3142
45,3075
33,3480
48,3292
44,3804
32,3264
33,2937
55,3219
61,3644
57,3727
57,3761
50,3959
56,3824
38,3542
55,3407
63,3536
32,3661
33,2741
22,3525
43,3308
50,3606
22,4044
48,3176
55,3363
56,3769
33,3489
64,3613
39,3820
43,3220
38,3605
25,3592
30,3143
47,3424
33,3397
43,3103
37,3700
31,3391
45,3218
48,3710
55,3705
37,3656
15,3346
61,3442
60,4025
54,3706
64,3806
57,3795
18,3596
33,3128
50,2919
29,3506
44,2945
43,3435
44,3600
53,3565
31,3642
36,3255
63,3286
53,4116
53,3774
59,3771
50,3632
57,3746
47,3746
36,3538
59,3284
65,4015
65,4016
53,3596
64,3374
38,4003
65,3786
44,4007
28,3395
51,3121
40,3475
55,3367
55,3591
54,3578
56,3704
47,3512
50,3719
19,3535
45,2980
57,3749
23,3856
56,3212
53,3881
33,3843
42,2967
56,3764
54,3666
66,3645
49,4078
21,4155
43,3020
33,3481
51,3625
49,3711
38,3529
28,3598
62,2506
38,3954
48,3692
40,3459
30,3218
62,3658
60,3924
31,3723
43,3232
