hw(rs1),HW
21,0
0,191
21,14
24,210
11,185
15,175
13,214
13,188
25,100
22,187
26,200
22,207
7,178
24,141
18,226
13,179
21,198
24,188
18,163
20,206
5,201
25,132
16,162
10,165
29,133
15,250
10,188
24,100
20,210
0,182
20,12
18,152
12,158
13,171
14,186
1,179
9,48
27,156
14,138
11,150
19,183
10,200
21,200
21,192
25,214
26,211
7,242
8,144
24,136
10,193
10,176
17,170
7,200
24,172
16,126
4,180
24,93
5,214
7,90
23,140
15,204
7,164
14,121
24,166
0,228
2,16
22,54
21,181
5,156
12,148
8,158
8,150
7,152
15,173
16,172
9,207
24,171
16,197
12,210
24,185
18,219
26,155
10,246
13,130
22,187
24,208
21,206
20,187
22,117
23,164
7,190
16,157
11,163
13,159
25,178
13,172
4,189
24,102
4,169
26,127
6,207
14,163
15,169
19,152
20,195
5,196
25,73
15,218
5,103
22,111
6,120
10,141
22,198
20,190
11,183
14,92
25,140
17,179
3,114
16,88
19,167
22,157
24,173
10,130
23,167
5,208
16,100
15,143
8,165
14,167
3,95
16,107
4,143
25,111
17,233
19,202
27,156
5,224
23,121
18,133
17,202
4,156
19,146
13,190
12,180
16,175
17,214
17,221
18,193
6,186
25,147
22,214
1,200
0,59
0,16
23,16
22,149
2,117
13,101
23,136
7,157
17,164
20,206
17,205
8,154
0,90
2,18
13,72
22,187
20,201
22,118
24,177
6,167
4,125
27,82
27,206
5,241
23,102
26,198
17,212
21,210
7,144
19,162
5,161
2,95
9,69
25,187
1,128
20,47
22,211
6,222
20,103
15,143
7,140
20,139
11,216
9,155
21,164
20,184
3,182
14,68
17,166
20,197
11,202
18,154
13,194
13,176
21,150
24,204
8,191
11,145
8,166
21,158
6,123
7,148
24,154
23,203
12,158
7,193
9,157
18,153
6,148
22,143
22,196
22,191
14,195
21,192
9,170
14,195
3,193
21,87
20,195
15,118
4,199
16,116
16,200
21,112
0,202
11,14
9,128
9,130
9,163
23,177
9,202
21,151
6,217
23,151
27,209
16,221
16,210
15,166
23,184
13,178
7,173
16,170
20,187
7,198
24,153
10,181
0,182
5,16
17,104
24,116
26,176
17,216
28,177
1,239
26,48
14,215
14,187
22,181
23,211
2,219
24,39
20,216
24,189
6,180
22,100
9,186
23,164
23,133
5,120
14,99
27,192
20,249
20,182
25,158
3,213
10,93
4,185
17,89
22,201
4,202
0,98
11,18
5,157
16,140
13,202
9,193
17,192
4,135
18,89
11,183
13,140
15,185
12,115
8,138
25,162
24,217
9,180
12,163
22,162
6,226
18,137
5,164
13,64
2,189
22,79
19,198
9,210
1,184
3,51
21,105
6,160
19,148
19,194
6,175
5,130
25,110
20,128
0,168
7,18
3,122
19,119
11,203
26,170
23,191
2,203
25,67
15,178
1,93
9,43
25,187
22,203
3,157
15,64
26,173
23,206
16,179
17,152
17,200
4,147
18,83
1,164
24,51
25,224
23,216
26,182
3,227
11,112
8,137
20,164
17,201
8,181
16,84
25,180
23,172
22,210
12,198
17,175
21,116
12,193
14,174
9,192
4,140
