hw(rs1)+hw(rs2),HW
22,0
42,180
34,250
12,299
25,194
20,301
63,272
44,387
60,337
32,375
54,140
73,319
62,401
51,374
64,358
56,409
58,367
53,337
46,332
65,335
26,385
66,328
48,341
31,351
43,164
48,274
30,325
49,272
28,293
38,100
35,287
39,306
56,302
36,396
57,274
22,399
63,290
44,375
36,371
51,308
21,371
32,246
22,291
61,108
61,338
33,377
39,282
46,248
10,317
62,120
40,349
60,340
36,405
33,337
17,273
31,122
38,182
42,355
49,299
56,301
66,335
49,404
63,365
20,394
67,223
42,383
35,250
58,223
35,354
46,326
28,368
47,304
28,301
23,312
24,212
36,90
24,300
30,292
22,82
49,229
45,323
48,341
49,347
56,292
57,327
53,351
31,369
64,185
48,373
49,275
37,315
53,254
61,325
45,361
51,331
14,341
59,234
28,323
32,301
42,316
62,283
48,385
52,295
47,314
55,295
49,345
63,359
53,415
32,352
41,278
40,262
47,291
61,313
31,399
60,243
58,379
49,345
14,321
48,226
40,373
43,275
35,323
40,343
42,331
41,206
51,289
70,298
27,385
62,132
20,391
23,240
59,281
44,403
32,314
32,326
21,222
41,305
25,288
62,165
63,420
51,365
32,319
33,278
50,296
34,363
29,287
47,246
59,373
58,287
37,360
68,308
25,367
38,268
18,277
43,183
43,346
35,302
33,311
48,281
30,362
42,188
46,263
48,270
70,349
56,345
64,373
25,350
34,213
59,225
14,380
34,214
59,293
47,413
50,319
53,339
33,329
21,283
43,206
62,312
52,407
33,373
31,122
31,298
58,301
65,333
42,337
43,291
35,300
41,331
44,304
32,320
65,310
44,417
31,326
59,321
34,372
7,315
32,147
57,304
43,377
41,262
62,228
33,395
36,195
58,299
40,401
43,220
32,306
0,150
38,22
58,301
36,389
59,287
31,327
55,232
58,321
52,399
53,289
42,327
54,339
49,339
34,319
63,178
45,377
40,198
51,260
53,314
48,304
26,302
61,315
46,381
39,318
50,306
62,319
63,401
17,393
43,246
26,224
60,282
54,363
56,323
30,365
57,203
49,255
49,361
38,230
40,312
56,324
48,371
53,277
40,368
49,343
5,357
46,84
43,305
26,347
37,122
57,283
51,364
52,363
63,315
55,357
43,385
56,328
57,298
59,392
36,383
62,301
31,409
44,147
25,361
34,302
18,277
45,124
54,327
36,329
53,234
41,379
47,295
55,334
60,333
63,326
47,381
42,347
52,318
52,362
46,314
28,355
51,168
43,348
36,246
20,250
33,156
56,132
60,347
45,351
54,316
61,371
41,362
52,332
24,341
44,104
6,240
48,132
58,333
53,365
23,249
50,296
61,353
40,389
51,287
18,378
41,62
39,228
32,296
13,154
9,201
25,132
57,212
13,384
24,158
36,199
32,297
58,286
54,342
42,383
38,286
40,318
40,280
43,330
63,264
58,363
55,351
61,343
23,366
64,301
23,377
63,240
57,381
60,378
42,365
43,319
54,351
30,371
34,134
52,244
44,320
25,261
41,308
47,327
51,312
27,331
52,138
37,363
51,306
55,345
59,310
26,377
48,232
55,306
6,365
14,52
49,98
46,314
28,340
39,240
20,343
47,284
48,269
30,362
45,293
65,317
37,376
48,332
7,365
27,60
46,316
20,373
48,62
42,297
36,321
60,96
53,376
22,342
25,170
50,292
36,354
60,294
39,382
52,332
40,338
24,291
47,242
36,333
17,335
24,152
40,230
35,355
41,347
63,285
39,330
48,310
49,339
9,329
23,86
35,251
59,158
50,379
64,351
43,371
27,286
28,78
21,287
40,118
62,338
32,344
61,312
47,340
53,228
9,397
29,64
41,286
38,299
52,296
39,305
23,328
67,258
37,420
45,211
39,351
34,234
39,332
43,240
33,293
58,253
33,393
31,182
52,216
51,341
57,328
14,393
33,116
46,152
38,335
53,313
67,344
60,407
58,390
32,402
48,304
61,293
46,393
53,296
28,343
32,250
57,266
44,371
40,313
10,339
33,94
60,282
47,357
40,321
43,340
51,347
67,348
36,408
15,92
23,70
40,280
27,308
42,242
44,234
50,328
38,326
47,180
63,373
19,364
34,110
25,180
54,244
59,311
40,402
35,328
45,340
47,294
46,346
37,296
44,177
42,200
51,320
54,357
45,357
33,315
40,237
31,325
65,256
39,359
37,355
52,304
35,312
39,345
24,252
61,260
56,267
55,323
25,383
48,275
63,337
38,345
54,213
61,319
41,379
28,291
62,182
65,389
46,363
47,283
34,340
60,136
62,351
23,405
57,280
36,349
49,251
35,334
65,303
55,397
22,340
33,178
31,203
35,120
26,258
49,188
15,310
65,222
50,351
38,345
64,335
52,397
30,338
49,277
49,300
60,343
51,407
33,315
57,128
61,377
54,333
56,349
23,341
33,303
45,116
62,351
34,409
21,203
43,260
31,338
23,215
69,213
18,387
57,270
33,323
49,271
38,362
37,305
18,321
53,120
50,356
58,333
20,409
43,265
70,297
53,405
38,356
49,349
30,294
48,168
43,327
26,341
54,122
53,251
42,353
47,296
49,263
34,305
32,224
52,285
59,335
25,356
42,252
24,324
65,148
47,271
60,256
40,391
57,264
7,385
62,98
61,389
56,393
55,333
36,265
40,218
58,334
58,337
39,323
56,308
42,349
33,351
31,140
56,329
27,354
40,100
23,288
64,100
47,393
37,367
36,254
51,232
54,321
33,384
53,319
58,348
56,327
16,260
64,150
27,385
33,187
27,186
51,319
43,347
44,318
55,285
24,379
60,230
55,381
49,334
48,369
34,375
51,294
38,331
35,274
