hw(rs1)+hw(rs2),HW
0,0
14,110
35,140
25,148
14,97
32,146
32,123
11,96
31,141
26,132
27,136
18,122
13,87
24,117
32,146
17,100
30,145
32,125
17,125
28,135
17,88
10,106
32,162
27,138
26,149
21,124
22,142
22,123
17,107
31,144
26,137
27,143
32,152
9,85
11,112
14,107
17,120
31,145
33,158
18,126
20,125
19,123
27,150
13,96
22,143
17,118
7,63
33,130
29,146
22,119
27,133
8,83
16,94
30,160
31,150
18,101
27,148
11,102
24,142
14,122
12,120
21,130
18,92
28,132
14,117
32,142
9,116
26,136
12,98
31,149
1,9
21,136
30,150
24,137
34,155
14,112
35,157
34,155
27,128
7,95
36,161
16,103
18,110
23,127
27,152
22,124
23,131
4,57
18,119
14,114
27,142
21,111
27,140
18,134
20,129
16,83
25,123
9,68
21,139
7,66
14,105
27,145
26,142
28,131
22,123
16,88
15,107
25,131
31,126
22,134
2,75
7,73
22,118
32,157
22,118
29,147
21,117
31,167
19,121
17,99
28,155
27,134
36,177
30,141
21,112
16,99
23,135
19,118
31,136
28,141
16,115
19,141
7,84
17,113
21,114
16,100
30,139
27,129
31,126
27,140
17,91
12,104
15,102
23,120
31,138
24,119
9,90
18,99
25,105
20,119
27,136
29,149
27,129
24,125
17,109
13,93
29,152
28,129
33,145
7,60
21,119
4,81
19,123
24,131
17,105
33,151
29,130
28,155
22,121
20,107
33,153
12,99
21,135
23,120
27,139
20,123
19,140
16,100
28,160
22,121
21,144
13,83
29,162
20,125
22,138
16,128
19,105
25,155
32,152
18,135
25,115
18,101
21,130
13,121
19,112
21,125
17,110
24,118
9,83
36,141
28,131
30,163
13,75
15,114
18,112
15,123
30,134
25,139
4,79
27,142
19,122
21,128
9,101
27,130
27,145
25,133
16,118
12,75
14,66
17,89
23,132
33,161
15,117
30,145
30,147
14,128
18,130
32,165
30,161
29,149
16,121
30,148
22,121
24,135
1,7
20,109
27,163
25,137
20,150
24,128
28,153
27,131
32,164
20,117
26,120
24,121
28,142
17,87
34,164
22,132
32,158
16,105
22,128
21,125
26,145
22,129
23,132
16,91
21,133
5,60
21,98
3,77
25,134
9,107
21,125
24,135
23,148
21,114
16,99
26,112
31,128
25,107
10,90
30,148
31,147
24,115
25,131
24,108
26,145
21,135
23,119
19,96
24,155
8,78
15,119
16,121
18,97
16,97
11,94
34,146
29,146
17,99
15,76
29,142
19,101
30,134
27,143
30,161
23,131
23,125
20,119
18,126
28,141
27,122
36,140
32,133
7,79
34,144
12,101
28,144
31,142
24,121
15,117
30,147
12,109
18,127
3,96
28,112
28,158
18,110
21,126
12,97
19,129
19,106
18,133
37,158
23,143
2,54
19,133
21,126
17,109
20,138
32,151
19,132
24,140
30,150
17,122
32,152
14,115
17,113
17,135
21,117
18,103
32,128
16,85
14,131
33,161
14,92
24,106
24,130
32,140
24,119
28,132
13,110
19,113
29,140
22,122
26,107
31,139
3,63
22,143
16,115
25,109
18,108
12,103
24,113
20,107
32,151
22,118
18,131
24,131
26,120
28,139
32,170
21,146
33,158
28,136
11,112
31,165
16,110
34,160
25,117
28,139
25,142
10,81
12,107
17,118
19,109
23,110
23,158
27,123
22,125
12,123
28,137
20,106
27,118
17,117
28,136
27,127
24,125
28,117
26,147
16,125
17,131
25,141
25,125
18,113
8,88
24,129
18,137
19,117
28,119
16,120
18,122
30,145
25,150
21,127
33,161
30,128
5,94
23,131
15,131
22,120
19,122
8,97
29,128
33,153
22,137
7,47
16,118
35,151
18,119
18,136
20,110
24,147
32,150
28,133
31,167
33,126
22,121
14,93
25,148
19,111
18,121
32,136
12,119
34,162
15,85
24,146
24,119
20,144
16,97
17,100
20,110
29,138
23,121
23,144
24,112
12,85
21,144
25,132
26,145
26,143
9,98
28,141
28,154
24,122
12,92
17,98
22,115
24,123
26,152
16,112
18,95
21,103
17,103
15,108
23,118
35,160
18,110
28,132
32,163
30,135
28,139
32,149
15,112
29,141
18,93
17,118
21,117
32,143
18,122
29,143
28,146
20,118
9,88
22,120
22,103
10,107
29,156
19,103
25,141
32,144
24,141
30,156
19,101
17,112
34,139
32,159
18,103
13,103
22,110
15,76
19,136
28,160
20,116
20,114
18,87
21,125
25,144
29,135
33,165
17,108
20,122
23,104
12,70
27,128
20,122
21,146
20,115
14,104
23,114
21,111
18,122
33,151
31,158
23,129
13,98
14,126
29,151
29,127
32,147
14,84
35,152
30,161
22,142
18,120
21,120
20,129
16,105
34,155
16,106
26,120
28,116
16,78
25,126
19,135
32,147
24,124
25,138
34,160
16,103
21,137
9,111
22,123
6,74
9,113
37,158
22,126
15,100
26,136
8,88
9,67
13,81
20,138
27,128
24,125
32,159
27,143
29,157
30,152
5,38
12,102
20,140
13,99
24,140
10,76
19,135
32,156
16,126
8,94
17,122
16,106
25,126
27,144
19,117
7,95
27,153
17,106
27,158
19,107
16,110
10,87
15,100
33,159
9,91
21,99
23,131
17,105
29,150
22,149
26,139
12,99
16,85
29,140
27,142
21,98
15,124
31,128
15,114
19,110
28,144
17,121
30,133
19,107
19,132
20,116
22,123
30,143
19,105
29,162
16,112
11,84
19,129
31,135
25,108
26,134
20,130
27,152
25,119
18,114
11,119
20,112
6,91
18,132
28,148
24,132
15,111
29,135
28,136
25,149
27,160
32,146
26,129
23,124
29,154
25,120
24,114
29,144
28,118
27,138
4,60
11,92
15,105
13,82
8,68
17,106
12,93
12,101
17,110
29,148
27,145
33,150
21,121
15,109
11,94
7,68
22,105
23,109
33,161
33,168
22,107
17,119
14,94
14,125
30,139
12,110
10,87
14,125
21,140
16,136
34,134
28,142
18,101
30,159
19,128
16,107
30,131
26,127
31,139
25,142
20,110
26,150
22,130
23,130
6,64
26,136
16,89
34,170
23,132
12,106
18,127
24,146
27,138
18,128
20,132
17,114
27,146
12,109
17,117
30,138
15,115
19,108
12,93
24,143
22,112
22,129
26,133
18,111
12,100
19,138
7,76
19,102
7,82
20,107
13,106
16,96
21,122
34,176
24,143
34,166
21,129
26,139
20,127
31,153
24,126
19,101
30,155
20,108
12,91
17,104
21,127
24,156
21,131
14,103
30,137
24,122
9,59
26,119
15,91
16,102
33,154
13,122
18,108
16,112
15,114
32,153
21,127
33,132
30,158
18,116
29,135
17,124
19,119
20,123
7,84
6,58
9,93
25,121
25,140
17,119
27,137
21,132
15,97
27,146
29,125
27,130
27,124
22,102
16,112
22,124
29,132
21,129
23,106
16,95
23,97
12,86
20,122
22,131
33,158
9,77
15,122
26,129
17,108
23,142
32,148
8,80
14,123
20,119
24,140
12,89
21,132
27,150
23,124
29,146
31,145
20,141
28,145
26,132
30,144
12,95
24,123
29,133
28,149
8,112
16,83
23,131
14,104
19,104
12,108
26,129
8,89
28,134
27,145
10,92
11,99
24,134
28,152
24,133
6,74
31,139
26,147
18,120
25,131
26,129
22,123
23,111
16,94
19,100
24,111
29,151
22,132
23,139
15,101
31,144
5,59
24,132
25,119
6,37
25,120
31,161
32,146
26,119
10,82
9,87
25,138
32,135
28,160
19,88
20,106
19,111
8,67
30,145
9,77
34,148
23,147
12,110
17,103
16,117
31,159
26,156
19,120
16,112
16,122
25,125
29,146
31,134
20,107
10,94
28,151
23,126
20,95
19,119
27,124
18,90
17,123
13,93
28,160
24,127
17,102
29,117
33,148
17,117
31,154
32,143
16,121
22,111
30,137
26,138
30,138
24,131
9,96
22,146
23,126
3,68
25,151
27,145
16,102
19,113
13,108
17,111
19,107
23,126
14,111
30,160
31,160
26,138
26,139
13,95
29,153
17,97
24,129
25,119
29,143
18,138
29,146
25,116
19,133
20,117
35,170
17,113
19,97
19,115
23,120
16,93
28,140
32,139
22,124
28,153
30,145
19,107
19,127
11,86
14,91
15,118
23,138
28,129
29,166
34,165
28,125
24,139
17,101
31,130
21,127
33,171
33,143
11,84
15,98
4,36
30,126
25,126
15,102
18,115
24,135
31,139
2,54
22,135
19,120
21,133
12,104
23,127
28,154
20,120
34,147
16,96
22,102
16,97
26,132
16,105
11,90
14,109
8,76
26,143
8,78
35,148
22,130
20,133
18,133
26,123
20,108
22,111
23,125
21,134
30,159
19,133
22,143
19,101
23,151
18,126
26,145
16,105
32,139
7,111
16,129
21,104
12,113
26,159
17,133
17,85
33,169
31,144
30,140
21,134
17,122
20,120
32,159
21,112
16,107
32,146
17,98
5,64
28,147
16,121
6,45
22,142
28,147
25,130
19,110
23,124
28,116
19,106
19,100
23,119
26,121
23,125
18,115
16,120
21,126
20,111
37,175
28,140
14,103
17,94
25,137
15,113
21,132
29,139
7,73
35,156
19,128
34,152
31,140
30,162
7,105
30,130
20,119
13,90
27,118
23,123
14,113
20,126
27,135
26,145
27,131
22,122
31,131
31,162
22,112
28,118
28,152
32,154
24,108
24,134
35,158
34,166
29,129
20,126
22,134
26,123
23,142
12,124
27,148
29,145
20,115
17,104
24,122
27,141
32,171
26,129
20,119
36,154
20,137
26,130
22,125
19,146
27,132
27,121
28,153
11,75
21,107
19,100
30,142
12,83
16,109
27,144
25,123
28,130
25,131
23,128
23,115
34,166
23,120
17,134
21,125
28,136
23,109
28,146
28,125
20,94
13,106
24,120
10,97
33,132
19,138
22,125
16,80
29,145
18,106
22,127
30,140
27,114
23,107
31,155
32,166
30,143
24,155
21,131
22,102
16,96
12,101
6,62
11,98
32,149
7,89
16,111
33,145
16,83
27,139
17,114
10,95
