hw(rs1),HW
0,0
1,21
6,93
14,120
13,140
19,139
16,129
10,115
15,127
15,140
11,127
20,135
12,139
15,127
10,126
18,141
0,3
11,126
14,137
16,112
4,74
14,130
7,115
19,121
12,109
18,135
17,123
10,125
13,106
12,133
14,131
5,83
3,48
16,120
7,96
15,128
15,134
7,106
0,3
17,106
17,137
13,117
9,104
8,99
15,128
17,127
8,113
7,108
14,122
15,130
12,124
18,133
9,109
0,1
16,132
12,118
5,79
20,134
15,136
8,114
3,57
7,103
15,132
4,75
9,102
0,1
7,102
4,74
16,121
12,123
17,139
15,139
0,1
11,99
16,126
14,123
4,67
16,120
17,120
15,118
13,124
13,107
15,120
1,23
17,119
11,113
9,102
5,72
5,82
6,83
12,126
2,38
17,118
11,115
7,91
13,120
14,133
15,128
1,19
14,128
15,135
13,125
1,20
13,108
4,71
7,108
20,124
13,138
0,3
18,122
14,134
12,122
9,102
13,135
3,52
17,130
14,123
17,116
15,122
9,123
9,109
17,142
0,3
0,3
11,110
18,135
10,123
1,23
14,120
9,109
16,124
7,106
13,127
9,105
14,118
14,129
14,139
10,123
7,80
16,138
19,131
10,117
7,98
12,143
9,108
12,121
11,137
5,86
15,130
14,124
1,22
15,128
20,133
16,117
10,104
2,38
16,129
5,77
7,80
7,100
2,32
12,125
18,141
2,41
14,124
8,121
5,84
16,125
16,133
14,138
13,111
9,113
17,115
6,82
16,124
12,114
15,138
11,118
16,145
17,124
18,125
14,135
15,116
15,129
13,117
17,135
6,94
10,124
14,132
2,40
7,99
13,123
13,143
18,119
2,34
13,141
0,1
1,21
18,141
13,130
18,116
4,68
18,140
16,123
15,133
2,39
17,140
18,119
20,119
14,122
17,121
9,139
14,130
15,126
0,3
18,121
9,106
14,125
8,125
10,107
15,121
6,93
16,149
10,116
15,137
13,131
13,117
2,41
16,126
9,123
17,109
6,92
10,132
10,116
14,133
14,122
0,3
16,134
13,133
16,128
17,129
12,122
3,50
11,117
15,139
10,134
17,124
4,67
7,84
17,131
11,124
12,136
14,124
6,91
16,147
0,1
15,136
9,116
8,97
1,20
12,134
17,117
12,129
9,99
18,121
9,112
16,117
16,131
16,143
16,141
17,137
18,141
16,133
6,76
8,106
9,108
5,78
10,122
7,111
12,129
1,21
14,132
10,114
3,61
2,37
13,124
1,23
16,141
12,124
5,84
1,21
8,116
1,23
15,142
2,37
18,130
14,125
14,131
6,81
12,126
18,124
14,127
6,90
18,127
11,123
14,130
6,82
7,101
12,127
12,127
14,128
14,140
16,117
13,129
3,49
5,77
10,108
14,126
18,144
17,124
9,117
10,118
12,130
14,131
19,128
6,105
3,58
15,126
10,119
3,61
12,121
15,121
6,89
15,139
13,127
14,127
13,144
15,130
8,107
12,134
6,91
12,119
0,3
2,43
9,116
13,136
15,114
9,110
16,135
15,127
7,102
11,118
10,109
17,129
12,121
8,96
15,125
1,23
14,125
4,70
15,117
2,40
5,75
21,132
17,133
13,121
17,119
9,102
16,129
7,101
16,130
15,125
10,109
9,123
5,63
1,21
11,127
3,53
15,124
14,112
12,131
6,72
5,87
3,54
5,79
15,146
5,81
8,111
14,142
16,119
12,118
15,131
9,110
15,130
6,94
16,131
11,118
17,134
15,123
18,135
6,92
10,112
9,100
11,119
10,124
7,92
12,123
18,117
16,128
10,119
16,127
20,118
4,71
15,116
16,122
18,128
10,118
5,69
1,23
18,125
17,119
17,125
7,97
0,1
7,86
1,17
17,124
11,133
16,132
20,115
18,134
16,121
3,54
9,100
14,132
6,80
13,125
2,31
12,128
17,124
14,131
15,111
17,129
17,136
8,111
7,99
7,117
17,156
13,124
2,35
11,122
15,143
13,146
10,111
16,133
10,122
3,56
7,110
17,111
15,126
14,145
16,143
14,143
4,62
19,117
12,132
8,111
1,23
0,3
16,127
15,145
4,68
17,134
9,108
8,92
15,129
4,68
14,133
2,41
13,132
13,125
11,109
11,128
4,59
11,137
15,132
15,135
4,70
18,130
17,133
3,52
17,133
8,109
16,127
13,128
1,23
5,74
17,139
12,129
0,3
16,132
15,143
4,65
19,128
17,119
12,133
15,112
11,119
17,136
11,108
2,39
14,113
15,122
2,35
14,123
7,91
17,117
13,125
16,131
4,66
13,123
2,40
8,95
14,139
15,131
7,106
13,138
16,116
15,121
11,117
17,136
10,113
11,120
0,3
18,143
15,112
13,122
18,109
15,145
12,123
3,53
15,126
16,133
16,112
15,127
5,87
4,53
19,148
6,97
18,125
12,134
17,117
18,122
12,127
4,72
4,73
6,87
14,119
11,124
16,134
5,77
9,121
17,118
12,122
14,110
15,117
17,139
13,127
1,23
8,106
14,134
1,23
17,128
5,81
15,124
14,131
15,127
4,59
2,36
6,96
13,129
10,116
12,137
16,140
11,117
9,98
14,137
18,123
15,132
17,117
8,125
16,121
18,102
15,135
11,144
1,21
19,120
17,137
19,111
14,123
17,128
16,141
8,94
3,56
5,81
17,143
13,146
13,123
12,131
19,127
10,125
0,3
16,116
0,3
16,147
13,132
8,107
10,121
12,134
13,141
10,111
11,113
2,38
15,125
8,107
12,135
18,105
15,142
11,128
16,129
10,116
9,108
3,53
1,23
6,80
8,113
13,124
2,33
18,127
5,74
10,121
16,120
13,107
17,138
18,122
6,95
0,1
14,136
15,119
17,132
5,87
1,22
13,119
9,110
14,118
7,90
9,117
5,77
6,84
15,125
9,113
11,126
10,122
11,113
6,70
20,136
17,159
15,141
14,142
4,69
0,1
12,128
16,105
0,3
4,72
14,131
13,120
5,79
13,123
16,119
14,122
18,123
13,136
4,63
17,131
2,38
15,149
12,137
9,112
17,148
1,21
12,112
8,99
9,107
7,97
13,130
18,143
16,138
18,122
11,117
15,140
16,132
11,126
16,131
14,124
18,132
15,125
11,127
7,100
7,92
11,136
5,76
17,123
15,131
5,71
6,81
7,96
12,131
15,129
15,120
13,137
1,21
3,50
8,109
15,137
1,23
16,117
17,140
17,120
4,61
16,144
2,39
5,85
6,83
9,92
3,58
15,123
5,70
8,111
16,126
10,117
4,69
13,131
12,109
0,3
16,123
5,78
11,139
4,69
14,116
9,115
5,81
7,91
6,89
2,40
5,79
0,1
3,57
12,130
7,102
3,52
18,146
18,131
13,129
13,130
15,112
17,133
7,91
8,98
18,130
14,131
2,43
2,43
6,77
1,21
14,131
6,100
6,96
14,134
15,125
11,111
14,123
10,122
16,135
16,118
1,20
16,123
11,128
9,121
8,110
12,115
14,143
17,126
4,70
14,130
10,106
15,125
0,3
16,126
13,134
10,117
2,41
13,134
15,127
16,142
16,132
15,122
9,124
13,127
9,129
15,124
13,122
16,136
4,66
13,118
16,132
15,136
19,132
13,102
12,127
15,135
11,128
17,134
10,122
4,68
14,121
1,23
8,104
12,124
15,123
4,68
11,117
5,74
12,115
6,96
12,121
5,75
9,110
15,138
14,101
7,92
12,130
9,112
12,113
10,129
4,68
5,74
6,98
17,122
14,123
13,127
11,103
1,22
2,41
15,144
18,141
7,92
10,119
10,124
15,126
13,123
2,36
14,131
16,118
10,111
14,128
9,123
6,89
18,139
7,95
4,70
11,124
0,3
11,110
12,141
2,38
20,125
13,120
3,61
16,140
11,122
0,3
14,119
15,130
11,112
13,119
12,122
16,140
8,110
2,39
13,136
1,23
12,141
10,124
0,3
9,105
11,106
13,130
1,23
4,69
17,121
13,139
12,107
4,69
15,136
7,97
5,80
14,122
12,103
15,130
8,110
15,120
9,103
10,111
15,128
3,59
1,21
12,126
20,137
12,106
13,118
17,147
17,130
9,112
11,143
9,114
14,127
18,126
14,130
17,132
5,73
16,132
10,112
3,50
13,136
16,126
18,131
9,105
10,109
17,124
9,101
7,91
14,126
0,3
16,121
1,23
1,21
13,139
16,154
13,122
12,109
2,40
15,130
17,137
7,78
12,128
15,127
6,95
1,20
6,70
1,21
17,142
15,117
15,146
14,134
15,132
19,137
6,79
3,59
15,127
2,41
10,113
6,90
5,72
14,139
7,91
18,132
6,73
15,126
15,140
12,119
5,71
19,136
4,63
10,113
15,139
15,133
14,127
14,129
16,126
5,84
16,133
17,145
9,113
0,3
4,65
0,1
17,132
12,138
14,143
13,125
3,59
14,113
16,154
16,125
0,3
4,63
12,123
14,124
6,91
12,129
15,130
17,140
14,122
3,58
14,132
13,122
3,48
6,100
11,137
4,70
16,144
12,144
5,83
19,138
3,49
13,137
13,133
13,120
19,128
18,133
17,132
17,131
6,88
13,136
16,132
15,116
14,138
15,126
14,130
11,110
2,40
9,100
14,142
9,107
2,43
10,110
18,153
2,41
8,104
12,126
16,120
10,118
14,125
17,128
11,124
14,125
15,134
19,137
8,101
3,51
12,101
15,127
16,127
13,130
15,138
13,142
4,63
16,132
9,111
0,3
5,83
10,112
13,118
17,128
17,125
4,66
15,145
18,136
18,142
12,120
13,111
0,3
14,123
3,54
16,150
15,144
15,129
12,119
19,133
13,137
10,114
